Airline,Source,Destination,Total_Stops,Price,Duration_In_Min,Dep_hour,Dep_min,Arrival_hour,Arrival_min,Journey_month,Journey_day
IndiGo,Banglore,New Delhi,0,3897,170.0,22,20,1,10,March,Sunday
Air India,Kolkata,Banglore,2,7662,445.0,5,50,13,15,May,Wednesday
Jet Airways,Delhi,Cochin,2,13882,1140.0,9,25,4,25,June,Sunday
IndiGo,Kolkata,Banglore,1,6218,325.0,18,5,23,30,May,Sunday
IndiGo,Banglore,New Delhi,1,13302,285.0,16,50,21,35,March,Friday
SpiceJet,Kolkata,Banglore,0,3873,145.0,9,0,11,25,June,Monday
Jet Airways,Banglore,New Delhi,1,11087,930.0,18,55,10,25,March,Tuesday
Jet Airways,Banglore,New Delhi,1,22270,1265.0,8,0,5,5,March,Friday
Jet Airways,Banglore,New Delhi,1,11087,1530.0,8,55,10,25,March,Tuesday
Multiple carriers,Delhi,Cochin,1,8625,470.0,11,25,19,15,May,Monday
Air India,Delhi,Cochin,1,8907,795.0,9,45,23,0,June,Saturday
IndiGo,Kolkata,Banglore,0,4174,155.0,20,20,22,55,April,Thursday
Air India,Chennai,Kolkata,0,4667,135.0,11,40,13,55,June,Monday
Jet Airways,Kolkata,Banglore,1,9663,730.0,21,10,9,20,May,Thursday
IndiGo,Kolkata,Banglore,0,4804,155.0,17,15,19,50,April,Wednesday
Air India,Delhi,Cochin,2,14011,1595.0,16,40,19,15,March,Sunday
SpiceJet,Delhi,Cochin,1,5830,270.0,8,45,13,15,April,Monday
Jet Airways,Delhi,Cochin,1,10262,1355.0,14,0,12,35,June,Wednesday
Air India,Delhi,Cochin,2,13381,1380.0,20,15,19,15,June,Wednesday
Jet Airways,Delhi,Cochin,1,12898,1235.0,16,0,12,35,May,Monday
GoAir,Delhi,Cochin,1,19495,310.0,14,10,19,20,March,Wednesday
Air India,Banglore,New Delhi,1,6955,920.0,22,0,13,20,March,Thursday
IndiGo,Banglore,Delhi,0,3943,170.0,4,0,6,50,April,Wednesday
IndiGo,Banglore,Delhi,0,4823,175.0,18,55,21,50,May,Wednesday
Jet Airways,Kolkata,Banglore,1,7757,800.0,18,55,8,15,May,Monday
Jet Airways,Delhi,Cochin,2,13292,910.0,21,25,12,35,June,Sunday
IndiGo,Delhi,Cochin,1,8238,345.0,21,50,3,35,June,Saturday
GoAir,Delhi,Cochin,1,7682,355.0,7,0,12,55,May,Wednesday
Vistara,Banglore,Delhi,0,4668,170.0,9,45,12,35,June,Tuesday
Vistara,Chennai,Kolkata,0,3687,135.0,7,5,9,20,June,Saturday
Vistara,Chennai,Kolkata,0,3687,135.0,7,5,9,20,June,Tuesday
Air India,Kolkata,Banglore,2,13227,805.0,9,50,23,15,May,Wednesday
IndiGo,Banglore,Delhi,0,4423,170.0,4,0,6,50,April,Saturday
Jet Airways,Delhi,Cochin,2,10919,1320.0,14,35,12,35,June,Saturday
Jet Airways,Delhi,Cochin,1,12373,330.0,7,5,12,35,May,Saturday
IndiGo,Delhi,Cochin,1,5894,625.0,10,35,21,0,June,Thursday
SpiceJet,Kolkata,Banglore,1,4649,315.0,15,5,20,20,May,Tuesday
Air India,Kolkata,Banglore,0,6245,150.0,14,15,16,45,May,Saturday
Jet Airways,Banglore,New Delhi,1,19225,375.0,7,0,13,15,March,Wednesday
Jet Airways,Delhi,Cochin,1,14924,715.0,7,5,19,0,June,Monday
Multiple carriers,Delhi,Cochin,1,9646,665.0,7,5,18,10,May,Tuesday
Air India,Banglore,New Delhi,1,8714,510.0,6,45,15,15,March,Friday
Jet Airways,Delhi,Cochin,1,12373,1325.0,20,55,19,0,May,Saturday
Air Asia,Banglore,Delhi,0,3383,165.0,11,10,13,55,May,Monday
Multiple carriers,Delhi,Cochin,1,13062,720.0,9,0,21,0,March,Thursday
SpiceJet,Banglore,New Delhi,0,3527,170.0,5,45,8,35,March,Sunday
IndiGo,Banglore,Delhi,0,3943,170.0,4,0,6,50,May,Monday
Air India,Chennai,Kolkata,0,4667,135.0,11,40,13,55,May,Friday
Air India,Kolkata,Banglore,1,6117,965.0,19,0,11,5,May,Wednesday
Jet Airways,Delhi,Cochin,2,11150,1195.0,23,5,19,0,June,Thursday
Jet Airways,Delhi,Cochin,0,7202,195.0,11,0,14,15,March,Saturday
Jet Airways,Kolkata,Banglore,1,12121,1520.0,9,35,10,55,May,Wednesday
IndiGo,Banglore,New Delhi,0,4377,170.0,22,20,1,10,March,Sunday
IndiGo,Banglore,Delhi,0,3943,180.0,21,15,0,15,June,Tuesday
Air Asia,Banglore,Delhi,0,4483,170.0,23,55,2,45,April,Wednesday
Jet Airways,Kolkata,Banglore,1,14231,975.0,19,45,12,0,March,Sunday
Air India,Banglore,New Delhi,2,17345,905.0,8,50,23,55,March,Friday
Vistara,Chennai,Kolkata,0,7414,135.0,7,5,9,20,March,Wednesday
Multiple carriers,Delhi,Cochin,1,8073,390.0,19,0,1,30,May,Monday
Vistara,Mumbai,Hyderabad,1,12395,1505.0,15,40,16,45,March,Wednesday
Air India,Kolkata,Banglore,1,8366,745.0,9,25,21,50,June,Thursday
Air India,Delhi,Cochin,1,5117,1640.0,6,5,9,25,April,Wednesday
Multiple carriers,Delhi,Cochin,1,12524,615.0,8,45,19,0,June,Monday
IndiGo,Delhi,Cochin,1,7191,630.0,15,0,1,30,May,Wednesday
Vistara,Chennai,Kolkata,0,3687,135.0,7,5,9,20,May,Friday
IndiGo,Delhi,Cochin,1,5894,625.0,10,35,21,0,June,Monday
Vistara,Banglore,Delhi,0,5403,170.0,9,45,12,35,April,Wednesday
Air India,Mumbai,Hyderabad,0,3625,90.0,13,55,15,25,May,Monday
Air India,Delhi,Cochin,2,10861,800.0,5,55,19,15,May,Tuesday
IndiGo,Chennai,Kolkata,0,6297,135.0,13,20,15,35,March,Tuesday
Jet Airways,Mumbai,Hyderabad,0,5678,85.0,7,5,8,30,June,Saturday
Jet Airways,Banglore,New Delhi,1,9134,1590.0,5,45,8,15,March,Saturday
Multiple carriers,Delhi,Cochin,1,10791,440.0,11,40,19,0,June,Monday
Jet Airways,Delhi,Cochin,2,12819,810.0,23,5,12,35,June,Monday
IndiGo,Delhi,Cochin,1,6893,300.0,5,5,10,5,March,Thursday
Vistara,Banglore,New Delhi,0,7240,165.0,9,50,12,35,March,Saturday
GoAir,Banglore,Delhi,0,3898,170.0,11,40,14,30,April,Wednesday
IndiGo,Mumbai,Hyderabad,0,4049,90.0,6,25,7,55,April,Wednesday
Jet Airways,Delhi,Cochin,1,10262,1145.0,17,30,12,35,June,Saturday
SpiceJet,Chennai,Kolkata,0,3332,135.0,8,20,10,35,March,Thursday
Jet Airways,Kolkata,Banglore,1,10844,890.0,21,10,12,0,June,Sunday
Jet Airways,Banglore,New Delhi,0,7229,160.0,19,55,22,35,March,Sunday
Jet Airways,Kolkata,Banglore,1,13941,1330.0,6,30,4,40,May,Monday
IndiGo,Delhi,Cochin,1,5894,575.0,11,25,21,0,June,Thursday
Multiple carriers,Delhi,Cochin,1,10197,600.0,9,0,19,0,May,Saturday
Jet Airways,Banglore,New Delhi,1,13712,1280.0,14,5,11,25,March,Wednesday
IndiGo,Delhi,Cochin,1,5636,325.0,2,0,7,25,June,Monday
Jet Airways,Delhi,Cochin,2,13014,1125.0,9,40,4,25,June,Thursday
Jet Airways,Kolkata,Banglore,1,7064,740.0,8,25,20,45,April,Monday
Jet Airways,Kolkata,Banglore,1,10703,1080.0,20,25,14,25,May,Friday
Multiple carriers,Delhi,Cochin,1,9646,555.0,13,15,22,30,May,Monday
Multiple carriers,Delhi,Cochin,1,17057,665.0,2,15,13,20,March,Wednesday
Jet Airways,Banglore,New Delhi,1,13817,1050.0,16,55,10,25,March,Tuesday
Air India,Delhi,Cochin,2,13748,800.0,5,55,19,15,March,Wednesday
Air India,Kolkata,Banglore,0,4880,155.0,20,45,23,20,April,Sunday
IndiGo,Chennai,Kolkata,0,3540,145.0,5,15,7,40,June,Friday
SpiceJet,Banglore,Delhi,0,3257,160.0,5,55,8,35,May,Wednesday
Jet Airways,Banglore,Delhi,0,6478,180.0,19,50,22,50,June,Monday
Jet Airways,Mumbai,Hyderabad,0,8040,85.0,7,5,8,30,June,Tuesday
Jet Airways,Delhi,Cochin,2,14300,995.0,20,0,12,35,June,Wednesday
Jet Airways,Kolkata,Banglore,1,14781,740.0,8,25,20,45,May,Wednesday
Jet Airways,Kolkata,Banglore,1,14939,735.0,20,0,8,15,June,Sunday
Jet Airways,Delhi,Cochin,1,10262,450.0,20,55,4,25,June,Monday
